lga_code,2021 Local Government Area (LGA) Name,seifa_score,Decile,Score,Decile,Score,Decile,Score,Decile,Usual Resident Population
10050,Albury,968,5,950,5,962,4,954,6,56093
10180,Armidale Regional,980,6,976,7,955,3,1010,9,29124
10250,Ballina,1015,8,996,8,1011,8,991,8,46296
10300,Balranald,960,4,934,4,970,4,915,3,2208
10470,Bathurst Regional,991,7,967,7,999,7,959,7,43567
10500,Bayside (NSW),1004,7,1044,9,966,4,1051,9,175184
10550,Bega Valley,986,6,949,5,987,6,946,6,35942
10600,Bellingen,981,6,960,6,983,6,985,8,13253
10650,Berrigan,966,5,927,4,974,5,913,3,8665
10750,Blacktown,987,6,1006,8,1020,9,993,8,396776
10800,Bland,993,7,958,6,1001,7,939,5,5547
10850,Blayney,991,6,962,6,1020,9,942,5,7497
10900,Blue Mountains,1048,9,1042,9,1039,9,1063,9,78121
10950,Bogan,966,5,948,5,989,6,936,5,2467
11150,Bourke,947,3,954,6,947,3,980,8,2340
11200,Brewarrina,818,1,866,1,789,1,917,4,1356
11250,Broken Hill,913,2,892,2,919,2,887,2,17588
11300,Burwood,977,5,1050,9,926,2,1082,10,40217
11350,Byron,1021,8,1027,9,1009,8,1052,9,36116
11400,Cabonne,1023,8,995,8,1044,10,975,8,13766
11450,Camden,1045,9,1050,9,1098,10,1002,8,119325
11500,Campbelltown (NSW),947,3,952,5,981,5,949,6,176519
11520,Canada Bay,1067,10,1116,10,1021,9,1123,10,89177
11570,Canterbury-Bankstown,917,2,966,7,949,3,996,8,371006
11600,Carrathool,973,5,953,6,980,5,941,5,2866
11650,Central Coast (NSW),994,7,978,7,1005,8,967,7,346596
11700,Central Darling,827,1,869,1,853,1,929,5,1725
11720,Cessnock,939,3,908,3,984,6,876,1,63632
11730,Clarence Valley,940,3,910,3,963,4,901,3,54115
11750,Cobar,965,5,937,4,977,5,904,3,4059
11800,Coffs Harbour,972,5,954,6,982,6,953,6,78759
12000,Coolamon,983,6,951,5,1006,8,941,5,4385
12150,Coonamble,883,1,893,2,922,2,919,4,3732
12160,Cootamundra-Gundagai Regional,953,4,926,3,965,4,918,4,11403
12350,Cowra,932,3,908,2,950,3,908,3,12724
12380,Cumberland,904,2,961,6,931,2,995,8,235439
12390,Dubbo Regional,985,6,958,6,988,6,944,6,54922
12700,Dungog,1009,8,974,7,1040,9,945,6,9541
12730,Edward River,966,5,939,4,971,4,935,5,8456
12750,Eurobodalla,985,6,946,5,983,6,941,5,40593
12850,Fairfield,814,1,885,2,937,2,919,4,208475
12870,Federation,969,5,925,3,976,5,897,2,12899
12900,Forbes,969,5,941,5,977,5,938,5,9319
12930,Georges River,1011,8,1048,9,999,7,1060,9,152274
12950,Gilgandra,930,3,913,3,955,3,923,4,4295
13010,Glen Innes Severn,906,2,891,2,929,2,907,3,8931
13310,Goulburn Mulwaree,972,5,945,5,985,6,926,4,32053
13340,Greater Hume Shire,999,7,964,6,1018,9,956,6,11157
13450,Griffith,974,5,950,5,985,6,920,4,27086
13550,Gunnedah,967,5,940,4,989,6,909,3,12929
13660,Gwydir,957,4,936,4,978,5,947,6,4910
13800,Hawkesbury,1026,8,1008,9,1056,10,969,7,67207
13850,Hay,956,4,926,3,950,3,903,3,2882
13910,Hilltops,954,4,929,4,974,5,927,4,19254
14000,Hornsby,1082,10,1116,10,1082,10,1121,10,151811
14100,Hunters Hill,1101,10,1156,10,1088,10,1163,10,13559
14170,Inner West,1057,10,1118,10,993,7,1141,10,182818
14220,Inverell,928,2,906,2,950,3,899,2,17853
14300,Junee,934,3,918,3,977,5,904,3,6415
14350,Kempsey,903,2,881,2,943,3,882,2,30688
14400,Kiama,1070,10,1061,9,1062,10,1058,9,23074
14500,Ku-ring-gai,1108,10,1165,10,1117,10,1174,10,124076
14550,Kyogle,921,2,906,2,950,3,929,4,9359
14600,Lachlan,950,3,936,4,957,3,944,6,6094
14650,Lake Macquarie,1004,7,981,7,1011,8,963,7,213845
14700,Lane Cove,1105,10,1162,10,1058,10,1180,10,39438
14750,Leeton,949,3,922,3,979,5,896,2,11452
14850,Lismore,966,5,945,5,970,4,959,7,44334
14870,Lithgow,935,3,912,3,960,3,889,2,20842
14900,Liverpool,931,3,968,7,999,7,976,8,233446
14920,Liverpool Plains,926,2,905,2,951,3,896,2,7551
14950,Lockhart,976,5,950,5,1002,7,961,7,3319
15050,Maitland,988,6,963,6,1015,8,934,5,90226
15240,Mid-Coast,943,3,912,3,963,4,905,3,96579
15270,Mid-Western Regional,979,5,949,5,1002,7,919,4,25713
15300,Moree Plains,940,3,932,4,946,3,927,4,12751
15350,Mosman,1110,10,1169,10,1065,10,1185,10,28329
15520,Murray River,998,7,965,7,1007,8,940,5,12850
15560,Murrumbidgee,983,6,951,5,988,6,937,5,3353
15650,Muswellbrook,937,3,908,2,972,4,862,1,16357
15700,Nambucca Valley,920,2,898,2,946,3,906,3,20407
15750,Narrabri,964,4,936,4,975,5,912,3,12703
15800,Narrandera,929,2,910,3,950,3,907,3,5698
15850,Narromine,958,4,934,4,980,5,929,5,6360
15900,Newcastle,1012,8,1012,9,976,5,1023,9,168873
15950,North Sydney,1096,10,1164,10,985,6,1193,10,68950
15990,Northern Beaches,1089,10,1125,10,1087,10,1109,10,263554
16100,Oberon,978,5,948,5,1007,8,928,4,5580
16150,Orange,997,7,979,7,994,7,972,7,43512
16200,Parkes,946,3,922,3,959,3,914,3,14361
16260,Parramatta,1029,9,1070,10,983,6,1097,10,256729
16350,Penrith,991,6,981,8,1015,8,949,6,217664
16380,Port Macquarie-Hastings,985,6,958,6,991,6,954,6,86762
16400,Port Stephens,982,6,952,5,1004,8,928,4,75276
16490,Queanbeyan-Palerang Regional,1061,10,1062,9,1061,10,1046,9,63304
16550,Randwick,1059,10,1113,10,995,7,1122,10,134252
16610,Richmond Valley,924,2,892,2,961,4,871,1,23565
16700,Ryde,1055,10,1099,10,1007,8,1120,10,129123
16900,Shellharbour,983,6,962,6,1014,8,928,4,76271
16950,Shoalhaven,980,6,949,5,992,7,939,5,108531
17000,Singleton,998,7,965,7,1032,9,906,3,24577
17040,Snowy Monaro Regional,1020,8,991,8,1006,8,973,7,21666
17080,Snowy Valleys,952,4,923,3,976,5,908,3,14891
17100,Strathfield,1011,8,1066,10,961,4,1098,10,45593
17150,Sutherland Shire,1079,10,1090,10,1078,10,1064,9,230211
17200,Sydney,1031,9,1126,10,887,2,1158,10,211632
17310,Tamworth Regional,961,4,937,4,976,5,923,4,63070
17350,Temora,972,5,939,4,980,5,924,4,6034
17400,Tenterfield,920,2,903,2,935,2,925,4,6810
17420,The Hills Shire,1098,10,1136,10,1132,10,1112,10,191876
17550,Tweed,989,6,967,7,995,7,960,7,97392
17620,Upper Hunter Shire,975,5,943,5,999,7,912,3,14229
17640,Upper Lachlan Shire,1022,8,995,8,1038,9,988,8,8514
17650,Uralla,990,6,963,6,1002,7,977,8,5971
17750,Wagga Wagga,989,6,971,7,988,6,970,7,67609
17850,Walcha,992,7,970,7,999,7,978,8,3016
17900,Walgett,888,2,896,2,899,2,928,4,5253
17950,Warren,962,4,952,5,973,5,955,6,2550
18020,Warrumbungle Shire,927,2,914,3,952,3,929,5,9225
18050,Waverley,1092,10,1163,10,1009,8,1170,10,68605
18100,Weddin,961,4,942,5,978,5,951,6,3608
18200,Wentworth,974,5,949,5,989,6,941,5,7453
18250,Willoughby,1075,10,1142,10,1034,9,1162,10,75613
18350,Wingecarribee,1045,9,1031,9,1055,10,1020,9,52709
18400,Wollondilly,1041,9,1020,9,1093,10,960,7,53961
18450,Wollongong,1000,7,1000,8,993,7,999,8,214564
18500,Woollahra,1110,10,1176,10,1043,10,1193,10,53496
18710,Yass Valley,1065,10,1062,10,1094,10,1047,9,17281
19399,Unincorporated NSW,1046,9,1025,9,1034,9,1000,8,1016
20110,Alpine,1028,9,989,8,1006,8,993,8,13235
20260,Ararat,955,4,932,4,964,4,934,5,11880
20570,Ballarat,986,6,965,7,971,4,978,8,113763
20660,Banyule,1058,10,1064,10,1030,9,1079,10,126236
20740,Bass Coast,993,7,957,6,992,7,962,7,40789
20830,Baw Baw,1003,7,971,7,1020,9,960,7,57626
20910,Bayside (Vic.),1090,10,1127,10,1075,10,1137,10,101306
21010,Benalla,968,5,938,4,973,5,942,6,14528
21110,Boroondara,1090,10,1131,10,1054,10,1153,10,167900
21180,Brimbank,912,2,928,4,961,4,940,5,194618
21270,Buloke,975,5,946,5,966,4,958,7,6178
21370,Campaspe,965,4,932,4,980,5,921,4,38735
